Creato come nuovo set dati;Sample 013 By Administrator Date martedì, novembre 22 2022
cm-1;%T
2628.00;71.52
2627.00;71.53
2626.00;71.52
2625.00;71.52
2624.00;71.52
2623.00;71.53
2622.00;71.55
2621.00;71.57
2620.00;71.58
2619.00;71.57
2618.00;71.56
2617.00;71.54
2616.00;71.53
2615.00;71.53
2614.00;71.53
2613.00;71.52
2612.00;71.50
2611.00;71.48
2610.00;71.46
2609.00;71.45
2608.00;71.44
2607.00;71.43
2606.00;71.41
2605.00;71.41
2604.00;71.41
2603.00;71.42
2602.00;71.42
2601.00;71.41
2600.00;71.42
2599.00;71.43
2598.00;71.45
2597.00;71.45
2596.00;71.46
2595.00;71.47
2594.00;71.50
2593.00;71.52
2592.00;71.55
2591.00;71.58
2590.00;71.61
2589.00;71.63
2588.00;71.64
2587.00;71.65
2586.00;71.66
2585.00;71.67
2584.00;71.69
2583.00;71.70
2582.00;71.70
2581.00;71.67
2580.00;71.63
2579.00;71.59
2578.00;71.55
2577.00;71.50
2576.00;71.44
2575.00;71.36
2574.00;71.27
2573.00;71.20
2572.00;71.13
2571.00;71.06
2570.00;70.99
2569.00;70.91
2568.00;70.84
2567.00;70.77
2566.00;70.68
2565.00;70.58
2564.00;70.48
2563.00;70.38
2562.00;70.28
2561.00;70.16
2560.00;70.04
2559.00;69.93
2558.00;69.83
2557.00;69.74
2556.00;69.63
2555.00;69.52
2554.00;69.42
2553.00;69.32
2552.00;69.20
2551.00;69.07
2550.00;68.94
2549.00;68.83
2548.00;68.76
2547.00;68.72
2546.00;68.69
2545.00;68.67
2544.00;68.65
2543.00;68.64
2542.00;68.64
2541.00;68.65
2540.00;68.66
2539.00;68.68
2538.00;68.70
2537.00;68.73
2536.00;68.76
2535.00;68.78
2534.00;68.80
2533.00;68.84
2532.00;68.90
2531.00;68.98
2530.00;69.05
2529.00;69.09
2528.00;69.12
2527.00;69.16
2526.00;69.21
2525.00;69.28
2524.00;69.35
2523.00;69.42
2522.00;69.48
2521.00;69.53
2520.00;69.58
2519.00;69.64
2518.00;69.72
2517.00;69.79
2516.00;69.85
2515.00;69.90
2514.00;69.94
2513.00;70.00
2512.00;70.08
2511.00;70.17
2510.00;70.27
2509.00;70.35
2508.00;70.42
2507.00;70.47
2506.00;70.51
2505.00;70.54
2504.00;70.58
2503.00;70.62
2502.00;70.68
2501.00;70.75
2500.00;70.82
2499.00;70.88
2498.00;70.95
2497.00;71.01
2496.00;71.07
2495.00;71.15
2494.00;71.24
2493.00;71.33
2492.00;71.41
2491.00;71.48
2490.00;71.54
2489.00;71.59
2488.00;71.63
2487.00;71.69
2486.00;71.74
2485.00;71.79
2484.00;71.82
2483.00;71.84
2482.00;71.88
